date,time,DOY,ALB_1_1_1,CHK__1_1_1,DAQM_T_1_1_1,VIN_1_1_1,DRM_POWER_STATUS_1_1_1,DRM_V_BATTERY_1_1_1,DRM_V_MAIN_1_1_1,LWIN_1_1_1,LWOUT_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RH_1_1_1,RN_1_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWIN_1_1_1,SWOUT_1_1_1,TA_1_1_1,TCNR4_C_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[%],[OTHER],[C],[V],[OTHER],[V],[V],[W/m^2],[W/m^2],[µmol/m^2/s],[m],[%],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[m^3/m^3],[m^3/m^3],[m^3/m^3],[W/m^2],[W/m^2],[K],[C],[K],[K],[K]
2022-06-30,22:30,181.9373,-0.0447951,129.567,2.20885,12.2129,15,0,11.4184,-24.6087,5.38307,-0.00178823,0,92.475,-35.1854,-3.6066,-38.5094,-2.95949,0.41825,0.428515,0.422735,-4.93909,0.254618,268.75,-157.243,-9999,-9999,-9999
2022-06-30,23:00,181.9581,-0.235191,121.6,2.08672,12.2128,15,0,11.4218,-23.2915,6.44679,-0.00166375,0,91.6803,-35.1894,-3.61724,-38.942,-2.96546,0.41824,0.428509,0.422729,-4.4005,1.0506,268.551,-157.235,-9999,-9999,-9999
2022-06-30,23:30,181.979,-0.322398,109.5,1.90052,12.2123,15,0,11.4149,-22.3213,7.12182,-0.00166024,0,92.5758,-34.7258,-3.6278,-39.4295,-2.96896,0.418237,0.428499,0.422739,-3.96012,1.32256,268.236,-157.316,-9999,-9999,-9999
2022-07-01,00:00,182,-0.552691,131.8,1.81068,12.2123,15,0,11.4062,-23.349,6.31445,-0.00174976,0,87.599,-36.2151,-3.63815,-39.6125,-2.96735,0.418238,0.428511,0.422735,-4.23406,2.31751,268.999,-157.385,-9999,-9999,-9999
2022-07-01,00:30,182.0208,0.104181,153.967,1.82239,12.2128,15,0,11.4293,-23.1879,6.07656,-0.00176611,0,88.9511,-32.7388,-3.64889,-39.6181,-2.9633,0.418235,0.428506,0.422725,-3.83279,-0.358448,268.268,-157.302,-9999,-9999,-9999
2022-07-01,01:00,182.0416,-0.348718,118.9,1.50781,12.2128,15,0,11.4209,-20.8427,7.92914,-0.00173719,0,92.1517,-33.043,-3.66095,-40.0687,-2.95821,0.418232,0.428494,0.422733,-3.1946,1.07656,267.962,-157.415,-9999,-9999,-9999
2022-07-01,01:30,182.0624,-0.650635,131.2,1.23854,12.2127,15,0,11.4196,-20.3033,8.19171,-0.00176359,0,91.6972,-33.7716,-3.67358,-40.3288,-2.94869,0.418231,0.428497,0.422716,-3.14659,2.13005,268.152,-157.345,-9999,-9999,-9999
2022-07-01,02:00,182.0833,-0.226509,130.567,1.27682,12.2126,15,0,11.419,-22.1978,6.82493,-0.00173904,0,88.8734,-34.6787,-3.68483,-39.8611,-2.93875,0.418233,0.428494,0.422714,-4.62358,1.03245,268.318,-157.379,-9999,-9999,-9999
2022-07-01,02:30,182.1041,-0.377623,141.267,1.26979,12.2127,15,0,11.4265,-21.7328,7.00842,-0.00166149,0,90.8513,-34.8475,-3.69499,-39.9087,-2.92446,0.418233,0.428501,0.422725,-4.54947,1.55683,267.774,-157.424,-9999,-9999,-9999
2022-07-01,03:00,182.1249,-0.113754,135.1,1.17839,12.2126,15,0,11.4293,-18.28,7.42937,-0.00166476,0,92.2206,-30.1569,-3.7046,-39.8239,-2.907,0.418227,0.428494,0.422711,-3.99679,0.450784,267.331,-157.393,-9999,-9999,-9999
